Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,My Review
"","",9780307913142,5,"","","","","",2012-05-19,"","",""
"","",038561926X,4,"","","","","",2012-03-28,"","",""
